AUTOMATED TIMETABLE GENERATION SYSTEM — WEEKLY REPORT
Generated: Fri May 22 11:33:00 PKT 2026

==========================================================================================
CLASSROOM: CS LAB-1 | CAPACITY: 30 | TYPE: Laboratory
==========================================================================================
Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
"08:00 - 09:05","Operating Systems (Dr. Muhammad Mudassar)","Software Design (Dr. Salman Iqbal)","Data Structures (Ms. Hina Naz)","---","Computer Networks (Ms. Mariam Fiaz)","---"
"09:05 - 10:10","Cyber Security (Dr. Muhammad Mudassar)","---","---","---","---","---"
"10:10 - 11:15","---","---","---","---","---","---"
"11:15 - 12:20","---","---","---","---","---","---"


==========================================================================================
CLASSROOM: CS-10 | CAPACITY: 40 | TYPE: Lecture Hall
==========================================================================================
Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
"08:00 - 09:05","---","Advanced Database Concepts (Mr. Tariq Hassan)","---","---","---","---"
"09:05 - 10:10","Database Systems (Mr. Tariq Hassan)","---","---","---","---","---"
"10:10 - 11:15","---","---","---","---","---","---"
"11:15 - 12:20","---","---","---","---","---","---"


==========================================================================================
CLASSROOM: MS-6 | CAPACITY: 60 | TYPE: Lecture Hall
==========================================================================================
Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
"08:00 - 09:05","---","Artificial Intelligence (Mr. Qaizar Javed)","---","---","---","---"
"09:05 - 10:10","---","---","---","---","---","---"
"10:10 - 11:15","---","---","---","---","---","---"
"11:15 - 12:20","---","---","---","---","---","---"


==========================================================================================
CLASSROOM: SE-2 | CAPACITY: 50 | TYPE: Lecture Hall
==========================================================================================
Time Slot,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
"08:00 - 09:05","---","---","---","---","---","---"
"09:05 - 10:10","---","---","---","---","---","---"
"10:10 - 11:15","---","---","---","---","---","---"
"11:15 - 12:20","---","---","---","---","---","---"


